kw_jan,freq_jan,kw_feb,freq_feb,kw_mar,freq_mar,kw_apr,freq_apr,kw_may,freq_may,kw_jun,freq_jun,kw_junYTD,freq_junYTD
obama,6,trump,5,president,8,house,8,government,6,great,10,great,31
administration,6,federal,4,government,7,thank,8,people,6,trump,6,trump,28
great,5,president,4,federal,7,obama,7,president,6,people,6,president,28
national,5,great,4,people,5,white,6,thank,6,second,5,people,27
country,4,people,3,trump,5,administration,6,united,4,democrats,4,government,23
trump,4,country,3,great,5,president,5,great,4,new,4,thank,19
election,3,debate,3,united,4,people,5,trump,4,house,4,administration,19
million,3,house,3,canada,4,trump,4,states,4,news,3,house,18
complete,3,investigation,3,senate,4,government,4,administration,4,big,3,federal,17
thing,3,new,3,country,4,new,4,american,4,2016,3,obama,16
government,3,service,2,states,4,work,4,party,4,hillary,3,new,16
media,3,court,2,world,4,best,4,yemen,3,reserve,3,country,15
joe,3,state,2,democrats,3,china,4,surveillance,3,states,3,states,15
mainstream,2,weeks,2,proud,3,history,4,working,3,federal,3,democrats,14
city,2,nancy,2,court,3,security,4,campaign,3,president,3,united,14
loves,2,ruled,2,party,3,news,4,another,3,jim,3,american,14
washington,2,hes,2,important,3,republican,3,china,3,former,3,white,13
job,2,public,2,new,3,health,3,healthcare,3,order,3,world,12
single,2,expected,2,provide,3,states,3,america,3,hood,3,party,12
hotter,2,senate,2,committee,3,working,3,days,3,american,3,news,12
end,2,asked,2,forward,3,economy,3,federal,3,political,3,senate,11
ambassador,2,luxury,2,announce,3,senate,3,news,3,government,2,court,11
trying,2,media,2,election,3,great,3,businesses,3,terrorist,2,election,10
wrong,2,agencies,2,russia,3,situation,3,democrats,3,campaign,2,best,10
proud,2,party,2,applications,2,released,3,reserve,2,world,2,campaign,10
massive,2,administration,2,city,2,public,3,fair,2,braces,2,china,10
best,2,law,2,highest,2,million,3,source,2,man,2,state,9
another,2,enforcement,2,members,2,john,3,hardworking,2,school,2,national,9
democratic,2,transit,2,questions,2,following,3,longer,2,data,2,working,8
@foxnews,2,pelosi,2,leading,2,united,3,impeachment,2,university,2,committee,8
security,2,faithful,2,love,2,state,3,moving,2,line,2,security,8
american,2,white,2,seen,2,issue,3,european,2,personal,2,fbi,7
ukraine,2,nordic,2,reviewing,2,email,3,super,2,americans,2,asked,7
democrats,2,governor,1,help,2,support,3,sometime,2,buy,2,work,7
critical,2,tuesday,1,immigration,2,nation,2,world,2,yesterday,2,media,7
people,2,safe,1,men,2,post,2,islamic,2,history,2,big,7
colder,2,abused,1,american,2,release,2,work,2,bank,2,may,7
clinton,2,interview,1,critical,2,radical,2,morning,2,amendment,2,economy,7
fbi,2,mobilizations,1,system,2,called,2,continuing,2,united,2,canada,7
department,2,verizon,1,current,2,book,2,continue,2,fire,2,presidential,7
agency,2,syria,1,reserve,2,world,2,given,2,approach,2,good,7
president,2,members,1,congress,2,good,2,threat,2,supreme,2,russia,7
hunt,2,provide,1,shoes,2,copy,2,raise,2,venezuela,2,reserve,7
works,2,god,1,asked,2,investigation,2,interest,2,donald,2,republican,7
world,2,juan,1,may,2,illegal,2,may,2,hard,2,2016,7
republican,2,babies,1,apple,2,important,2,uespwiki,2,group,2,history,7
unbelievable,2,though,1,effort,2,fake,2,stated,2,congress,2,donald,6
committee,2,@petehegseth,1,process,2,cannot,2,release,2,tremendous,2,weeks,6
justice,2,russian,1,article,2,understand,2,rates,2,fox,2,release,6
actually,1,plan,1,women,2,text,2,deliver,2,thank,2,law,6
truth,1,disturbed,1,rate,2,sen,2,presidential,2,upheld,2,washington,6
next,1,care,1,part,2,compromise,2,state,2,announced,2,another,6
grassroots,1,singapore,1,position,2,big,2,west,2,country,2,radical,6
talked,1,gonzalez,1,college,2,hours,2,sorry,2,try,2,public,6
watch,1,soledad,1,billion,2,battle,2,republic,2,riots,2,islamic,6
guy,1,incident,1,white,2,largest,2,whether,2,interviewed,2,fake,6
part,1,longer,1,families,2,adviser,2,budget,2,islamic,2,million,6
week,1,accept,1,destroying,2,2017,2,good,2,interest,2,money,6
arpaio,1,lost,1,young,2,question,2,michigan,2,maduro,2,women,6
message,1,hempstead,1,agreed,2,national,2,subscribe,2,opposition,2,congress,6
secret,1,malign,1,order,2,mccain,2,case,2,allow,2,nation,6
florida,1,obrien,1,campaign,2,looks,2,governor,2,hbo,2,proud,6
launch,1,moderating,1,winning,2,american,2,together,2,senate,2,hillary,6
please,1,fbi,1,case,2,cost,2,show,2,according,2,wrong,6
email,1,problem,1,economy,2,islamic,2,fight,2,video,2,investigation,6
bombshell,1,kasich,1,supreme,2,possible,2,kind,2,location,2,interest,5
committed,1,jobs,1,products,2,podcast,2,nothing,2,russia,2,men,5
effort,1,newly,1,game,2,community,2,success,1,accused,2,bill,5
seekers,1,installed,1,electoral,2,weeks,2,written,1,election,2,provide,5
birther,1,nothing,1,making,2,yes,2,situation,1,says,2,number,5
alyson,1,wants,1,infrastructure,2,person,2,funded,1,women,2,york,5
discovery,1,liner,1,information,2,due,2,york,1,victory,2,supreme,5
combined,1,currently,1,russian,2,mana,2,approach,1,advisor,2,former,5
phrase,1,talk,1,business,2,unwilling,2,record,1,wrong,2,important,5
planning,1,forcing,1,china,2,document,2,agenda,1,clinton,2,post,5
opposite,1,vote,1,concerned,2,fbi,2,pipeline,1,bus,2,attack,5
happened,1,reliable,1,2016,2,anyone,2,updates,1,fake,2,days,5
defeat,1,obama,1,homeland,1,visa,2,huge,1,committee,2,young,5
nearly,1,dollar,1,answered,1,reflect,2,anything,1,san,2,political,5
8,1,200000,1,theresa,1,rating,2,reopened,1,court,2,announce,5
instead,1,sick,1,remarks,1,money,2,power,1,number,1,information,5
year,1,drugs,1,governmental,1,nepal,2,region,1,londo,1,clinton,5
caught,1,suspect,1,meet,1,planning,2,promise,1,exclusion,1,email,5
conversation,1,administ,1,wish,1,terrorism,2,cancer,1,sneak,1,system,5
4th,1,male,1,instead,1,michael,2,warned,1,trusted,1,part,5
500,1,early,1,decision,1,episode,2,next,1,consider,1,support,5
determined,1,post,1,memo,1,bill,2,attempt,1,realized,1,article,5
austin,1,honor,1,india,1,russia,2,kinzinger,1,extensions,1,health,5
action,1,madame,1,report,1,attack,2,try,1,saw,1,order,5
new,1,lower,1,mexico,1,iraq,2,robert,1,ponce,1,case,5
spying,1,communications,1,straight,1,dangerous,2,satanic,1,sunday,1,russian,5
administrations,1,demand,1,rates,1,bipartisan,2,saudi,1,member,1,second,5
budget,1,article,1,provided,1,days,2,ben,1,entertainment,1,year,5
join,1,act,1,huge,1,learn,2,samesex,1,bid,1,america,5
change,1,eight,1,print,1,law,2,public,1,impeached,1,announced,4
feel,1,something,1,providing,1,break,2,abc,1,british,1,rates,4
months,1,surveillance,1,food,1,war,2,scrolls,1,findings,1,nothing,4
thank,1,programs,1,appears,1,pleased,2,democrat,1,joining,1,situation,4
taking,1,fair,1,ponce,1,campaign,2,shutdown,1,contributor,1,rate,4
readers,1,lies,1,samesex,1,countries,2,carson,1,bless,1,countries,4
